latent_dim,method,sample_size,n_selected,strategy,beta,success
2,cluster_based,100,100,exponential,1.0,True
2,cluster_based,400,400,exponential,1.0,True
2,cluster_based,900,900,exponential,1.0,True
2,equiprobable,100,80,exponential,1.0,True
2,equiprobable,400,305,exponential,1.0,True
2,equiprobable,900,660,exponential,1.0,True
2,latin_hypercube,100,100,exponential,1.0,True
2,latin_hypercube,400,400,exponential,1.0,True
2,latin_hypercube,900,900,exponential,1.0,True
2,adaptive_latin_hypercube,100,100,exponential,1.0,True
2,adaptive_latin_hypercube,400,400,exponential,1.0,True
2,adaptive_latin_hypercube,900,900,exponential,1.0,True
