latent_dim,method,sample_size,n_selected,strategy,beta,success
3,cluster_based,100,100,linear,10,True
3,cluster_based,400,400,linear,10,True
3,cluster_based,900,900,linear,10,True
3,cluster_based,1225,1225,linear,10,True
3,cluster_based,1600,1600,linear,10,True
3,equiprobable,100,69,linear,10,True
3,equiprobable,400,240,linear,10,True
3,equiprobable,900,449,linear,10,True
3,equiprobable,1225,113,linear,10,True
3,equiprobable,1600,716,linear,10,True
3,latin_hypercube,100,100,linear,10,True
3,latin_hypercube,400,400,linear,10,True
3,latin_hypercube,900,900,linear,10,True
3,latin_hypercube,1225,1225,linear,10,True
3,latin_hypercube,1600,1600,linear,10,True
3,adaptive_latin_hypercube,100,100,linear,10,True
3,adaptive_latin_hypercube,400,400,linear,10,True
3,adaptive_latin_hypercube,900,900,linear,10,True
3,adaptive_latin_hypercube,1225,1225,linear,10,True
3,adaptive_latin_hypercube,1600,1600,linear,10,True
